SensorIndex_1,AccelX_1,AccelY_1,AccelZ_1,GyroX_1,GyroY_1,GyroZ_1,MagX_1,MagY_1,MagZ_1,Quat1_1,Quat2_1,Quat3_1,Quat4_1,Sampletime_1,Package_1,SensorIndex_2,AccelX_2,AccelY_2,AccelZ_2,GyroX_2,GyroY_2,GyroZ_2,MagX_2,MagY_2,MagZ_2,Quat1_2,Quat2_2,Quat3_2,Quat4_2,Sampletime_2,Package_2
0,-0.3400000035762787,9.210000038146973,-0.20999999344348907,2.25,0.9375,-0.8125,9.25,-39.875,-19.875,-0.6940260529518127,-0.702631950378418,-0.12506018579006195,-0.09484799206256866,55939,46,1,-0.7200000286102295,9.619999885559082,-2.319999933242798,1.5625,2,-1,9.5625,-40.25,-11.375,-0.5285553336143494,-0.6854740381240845,0.37157562375068665,0.3356875777244568,1559,46
0,-0.3100000023841858,9.220000267028809,-0.30000001192092896,2.25,0.4375,-0.875,9.25,-39.875,-19.875,-0.6938926577568054,-0.7027425169944763,-0.1251802146434784,-0.0948464423418045,55949,47,1,-0.7900000214576721,9.640000343322754,-2.2799999713897705,1.5625,1.6875,-0.6875,9.5625,-40.25,-11.375,-0.5285007953643799,-0.685604453086853,0.37151914834976196,0.3355696201324463,1569,47
0,-0.3799999952316284,9.229999542236328,-0.3100000023841858,2.5,0.625,-0.9375,9.25,-39.875,-19.875,-0.6937685012817383,-0.7028625011444092,-0.12524087727069855,-0.09478512406349182,55959,48,1,-0.7950000166893005,9.625,-2.25,1.5,1.375,-0.5,9.5625,-40.25,-11.375,-0.5283920168876648,-0.6858049035072327,0.3714064359664917,0.3354560136795044,1579,48
0,-0.39000000059604645,9.21999979019165,-0.3100000023841858,2.0625,0.125,-1,9.25,-39.875,-19.875,-0.6936073899269104,-0.7030068635940552,-0.1253669112920761,-0.09472709149122238,55969,49,1,-0.800000011920929,9.609999656677246,-2.2200000286102295,1.625,1.8125,-0.5,9.5625,-40.25,-11.375,-0.5283254384994507,-0.6859197616577148,0.3714025318622589,0.33533039689064026,1588,49
0,-0.4000000059604645,9.210000038146973,-0.3100000023841858,2,-0.125,-1,8.5,-40.5625,-20.25,-0.6934872269630432,-0.7031309008598328,-0.12542828917503357,-0.09460528194904327,55979,50,1,-0.8299999833106995,9.630000114440918,-2.2200000286102295,1.625,1.5625,-0.8125,8.875,-39.5625,-12.25,-0.5282707810401917,-0.6860501170158386,0.37134599685668945,0.335212379693985,1598,50
0,-0.4000000059604645,9.1899995803833,-0.2800000011920929,1.875,-0.875,-0.9375,8.5,-40.5625,-20.25,-0.6933577060699463,-0.7032454013824463,-0.12554901838302612,-0.09454323351383209,55989,51,1,-0.7699999809265137,9.59000015258789,-2.3299999237060547,1.3125,1.5,-0.6875,8.875,-39.5625,-12.25,-0.528194010257721,-0.6862127780914307,0.37127387523651123,0.3350803256034851,1609,51
0,-0.41999998688697815,9.199999809265137,-0.3700000047683716,1.8125,-1.0625,-0.875,8.5,-40.5625,-20.25,-0.6932427883148193,-0.7033747434616089,-0.12555031478405,-0.09442213922739029,55999,52,1,-0.7599999904632568,9.619999885559082,-2.2699999809265137,1.25,1.5,-0.5,8.875,-39.5625,-12.25,-0.5281404852867126,-0.6863446235656738,0.37115707993507385,0.33502405881881714,1619,52
0,-0.3700000047683716,9.210000038146973,-0.3199999928474426,1.625,-1.375,-0.8125,8.5,-40.5625,-20.25,-0.6931278705596924,-0.7035040259361267,-0.12555159628391266,-0.09430103003978729,56009,53,1,-0.7549999952316284,9.625,-2.240000009536743,1.625,0.6875,-0.625,8.875,-39.5625,-12.25,-0.5280738472938538,-0.6864593625068665,0.3711531460285187,0.3348984122276306,1629,53
0,-0.3799999952316284,9.199999809265137,-0.23999999463558197,1.5625,-1.4375,-0.875,8.5,-40.5625,-20.25,-0.6930485367774963,-0.7036075592041016,-0.12554828822612762,-0.09411544352769852,56019,54,1,-0.75,9.630000114440918,-2.2100000381469727,1.875,0.125,-0.5625,8.875,-39.5625,-12.25,-0.5279642939567566,-0.6865977048873901,0.37110090255737305,0.33484533429145813,1638,54
0,-0.38999998569488525,9.15999984741211,-0.17000000178813934,1.5625,-0.875,-0.8125,9.25,-39.0625,-19.75,-0.6929335594177246,-0.7037367820739746,-0.1255495697259903,-0.09399433434009552,56029,55,1,-0.7900000214576721,9.649999618530273,-2.0799999237060547,1.875,-0.1875,-0.75,6.25,-40.6875,-12.6875,-0.5278308391571045,-0.6867049336433411,0.37115392088890076,0.3347770571708679,1648,55
0,-0.41999998688697815,9.239999771118164,-0.1599999964237213,1.5625,-0.625,-0.6875,9.25,-39.0625,-19.75,-0.6928799748420715,-0.7038054466247559,-0.12555092573165894,-0.0938732773065567,56039,56,1,-0.7699999809265137,9.670000076293945,-2.200000047683716,1.8125,0.125,-0.8125,6.25,-40.6875,-12.6875,-0.5276985168457031,-0.6868137121200562,0.3711467385292053,0.3347705602645874,1659,56
0,-0.38999998569488525,9.239999771118164,-0.2800000011920929,1.3125,-0.4375,-0.625,9.25,-39.0625,-19.75,-0.6927966475486755,-0.7039048671722412,-0.1255468875169754,-0.09374818950891495,56049,57,1,-0.7699999809265137,9.680000305175781,-2.2200000286102295,1.5,0.4375,-1.125,6.25,-40.6875,-12.6875,-0.5275221467018127,-0.6869445443153381,0.37115147709846497,0.33477482199668884,1669,57
0,-0.38999998569488525,9.220000267028809,-0.23000000417232513,1.375,-0.5,-0.5625,9.25,-39.0625,-19.75,-0.6927338242530823,-0.7039640545845032,-0.12560759484767914,-0.09368690848350525,56059,58,1,-0.7849999964237213,9.710000038146973,-2.215000033378601,1.125,0.375,-0.9375,6.25,-40.6875,-12.6875,-0.5274238586425781,-0.6870365738868713,0.37110716104507446,0.3347899317741394,1679,58
0,-0.3700000047683716,9.210000038146973,-0.1599999964237213,1.25,-0.75,-0.5625,9.25,-39.0625,-19.75,-0.6926405429840088,-0.7040543556213379,-0.12561281025409698,-0.09369080513715744,56069,59,1,-0.800000011920929,9.739999771118164,-2.2100000381469727,0.875,0.375,-0.875,7.375,-37,-12.25,-0.5273355841636658,-0.6871231198310852,0.3710879981517792,0.33477264642715454,1689,59
